Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
2018-05-10 03:00:00,BTCUSD,9342.0,9342.0,9275.55,9322.0,30.22,281268.39
2018-05-10 02:00:00,BTCUSD,9306.8,9349.12,9271.14,9342.0,42.53,395397.34
2018-05-10 01:00:00,BTCUSD,9355.0,9355.0,9300.0,9306.8,31.36,292288.38
2018-05-10 00:00:00,BTCUSD,9326.1,9375.0,9298.89,9355.0,40.6,379101.97
2018-05-09 23:00:00,BTCUSD,9300.05,9350.0,9251.13,9326.1,45.11,419932.93
2018-05-09 22:00:00,BTCUSD,9260.0,9350.0,9246.01,9300.05,46.03,427739.37
2018-05-09 21:00:00,BTCUSD,9286.6,9301.0,9240.0,9260.0,28.98,268525.52
2018-05-09 20:00:00,BTCUSD,9288.0,9348.82,9286.6,9286.6,55.83,519896.56
2018-05-09 19:00:00,BTCUSD,9321.76,9325.64,9275.6,9288.0,17.88,166054.88
2018-05-09 18:00:00,BTCUSD,9330.1,9355.67,9261.14,9321.76,45.83,426798.19
2018-05-09 17:00:00,BTCUSD,9335.0,9380.0,9330.0,9330.1,50.78,474951.07
2018-05-09 16:00:00,BTCUSD,9292.1,9338.95,9292.1,9335.0,33.67,313781.16
2018-05-09 15:00:00,BTCUSD,9315.0,9350.0,9292.1,9292.1,63.89,595747.64
2018-05-09 14:00:00,BTCUSD,9275.5,9321.0,9244.75,9315.0,33.21,308664.17
2018-05-09 13:00:00,BTCUSD,9289.0,9318.98,9258.0,9275.5,20.9,194074.88
2018-05-09 12:00:00,BTCUSD,9250.0,9343.0,9241.67,9289.0,76.04,707892.57
2018-05-09 11:00:00,BTCUSD,9200.0,9254.0,9194.0,9250.0,33.81,312248.03
2018-05-09 10:00:00,BTCUSD,9121.0,9200.0,9080.0,9200.0,45.78,419045.49
2018-05-09 09:00:00,BTCUSD,9121.0,9149.45,9103.0,9121.0,36.91,336962.17
2018-05-09 08:00:00,BTCUSD,9006.24,9145.0,9000.0,9121.0,90.32,817290.74
2018-05-09 07:00:00,BTCUSD,9085.0,9112.1,9000.0,9006.24,72.04,651211.28
2018-05-09 06:00:00,BTCUSD,9040.0,9090.0,9040.0,9085.0,35.91,325301.32
2018-05-09 05:00:00,BTCUSD,9063.83,9090.0,9010.0,9040.0,44.61,403850.64
2018-05-09 04:00:00,BTCUSD,9021.0,9068.0,8950.0,9063.83,103.95,935556.55
2018-05-09 03:00:00,BTCUSD,9091.0,9091.0,8979.49,9021.0,114.61,1033116.16
2018-05-09 02:00:00,BTCUSD,9159.0,9159.0,9057.0,9091.0,54.52,495902.69
2018-05-09 01:00:00,BTCUSD,9107.0,9175.0,9107.0,9159.0,17.75,162369.17
2018-05-09 00:00:00,BTCUSD,9199.99,9222.98,9100.0,9107.0,66.12,605492.99
2018-05-08 23:00:00,BTCUSD,9204.0,9269.31,9199.99,9199.99,40.83,377494.87
2018-05-08 22:00:00,BTCUSD,9184.5,9270.0,9181.58,9204.0,58.33,539251.44
2018-05-08 21:00:00,BTCUSD,9177.0,9252.64,9177.0,9184.5,34.35,316609.91
2018-05-08 20:00:00,BTCUSD,9272.65,9288.0,9176.0,9177.0,56.35,520996.0
2018-05-08 19:00:00,BTCUSD,9247.9,9284.0,9195.0,9272.65,37.94,351015.41
2018-05-08 18:00:00,BTCUSD,9149.79,9250.0,9083.11,9247.9,78.73,721978.36
2018-05-08 17:00:00,BTCUSD,9110.5,9160.0,9110.5,9149.79,53.4,487993.03
2018-05-08 16:00:00,BTCUSD,9202.66,9212.8,9110.5,9110.5,36.01,329786.41
2018-05-08 15:00:00,BTCUSD,9140.0,9209.31,9135.0,9202.66,45.3,415680.73
2018-05-08 14:00:00,BTCUSD,9112.0,9224.77,9080.67,9140.0,75.08,685804.23
2018-05-08 13:00:00,BTCUSD,9136.27,9201.77,9087.92,9112.0,83.88,767798.96
